date,settle,price_pos,trailing_yoy,buy_signal
2017-11-30,91.33,0.0,-0.11945622830698033,1.0
2017-12-31,87.59,0.0,-0.14000981836033377,1.0
2018-01-31,88.65,0.055381400208986534,-0.18159158050221558,1.0
2018-02-28,89.24,0.08620689655172369,-0.16198704103671702,1.0
2018-03-31,88.18,0.034005763688761015,-0.1738030544364283,1.0
2018-04-30,88.31,0.04149855907780975,-0.1474222822938791,1.0
2018-05-31,88.74,0.06628242074927906,-0.09780398535990242,1.0
2018-06-30,86.07,0.0,-0.15576262873957836,1.0
2018-07-31,84.42,0.0,-0.19554030874785588,1.0
2018-08-31,80.74,0.0,-0.22751626482969767,1.0
2018-09-30,76.7,0.0,-0.22665860052429931,1.0
2018-10-31,85.32,0.5892002734107993,-0.13283870312023582,0.0
2018-11-30,83.52,0.5438596491228068,-0.08551406985656418,0.0
2018-12-31,77.57,0.06937799043062129,-0.11439662061879219,1.0
2019-01-31,78.24,0.12280701754385909,-0.11742808798646376,1.0
2019-02-28,78.65,0.1619601328903658,-0.11866875840430291,1.0
2019-03-31,76.96,0.02159468438538132,-0.1272397369017919,1.0
2019-04-30,73.28,0.0,-0.17019590080398594,1.0
2019-05-31,71.12,0.0,-0.1985575839531214,1.0
2019-06-30,74.02,0.20422535211267562,-0.14000232369001975,1.0
2019-07-31,73.93,0.1978873239436623,-0.1242596541104003,1.0
2019-08-31,70.77,0.0,-0.123482784245727,1.0
2019-09-30,70.64,0.0,-0.07900912646675362,1.0
2019-10-31,68.63,0.0,-0.19561650257852792,1.0
2019-11-30,73.28,0.46407185628742526,-0.12260536398467425,0.0
2019-12-31,73.23,0.45908183632734567,-0.05594946499935527,0.0
2020-01-31,70.55,0.19161676646706585,-0.09828732106339466,1.0
2020-02-29,68.07,0.0,-0.13452002542911645,1.0
2020-03-31,67.46,0.0,-0.12344074844074848,1.0
2020-04-30,63.96,0.0,-0.12718340611353707,1.0
2020-05-31,64.53,0.05666003976143147,-0.0926602924634421,1.0
2020-06-30,64.62,0.06619859578736241,-0.12699270467441226,1.0
2020-07-31,67.69,0.40021459227467776,-0.08440416610307055,0.0
2020-08-31,72.68,0.9356223175965671,0.02698883707785793,0.0
2020-09-30,72.77,0.945278969957081,0.030152887882219703,0.0
2020-10-31,68.36,0.4721030042918453,-0.003934139589100938,0.0
2020-11-30,72.38,0.9083063646170434,-0.012281659388646338,0.0
2020-12-31,72.04,0.917139614074916,-0.016250170695070287,0.0
2021-01-31,70.73,0.7684449489216807,0.0025513819985827357,0.0
2021-02-28,73.37,1.0,0.07786102541501405,0.0
2021-03-31,73.86,1.0,0.09487103468722213,0.0
2021-04-30,74.46,1.0,0.1641651031894933,0.0
2021-05-31,79.68,1.0,0.23477452347745253,0.0
2021-06-30,84.83,1.0,0.3127514701330856,0.0
2021-07-31,94.37,1.0,0.3941498005613828,0.0
2021-08-31,95.18,1.0,0.3095762245459548,0.0
2021-09-30,104.6,1.0,0.4374055242545005,0.0
2021-10-31,105.24,1.0,0.5394967817437097,0.0
2021-11-30,109.4,1.0,0.5114672561481073,0.0
2021-12-31,112.66,1.0,0.5638534147695722,0.0
2022-01-31,110.0,0.932298294731484,0.5552099533437014,0.0
2022-02-28,109.43,0.9167525773195879,0.4914815319612922,0.0
2022-03-31,103.82,0.7685863874345549,0.405632277281343,0.0
2022-04-30,103.92,0.7349909035779261,0.3956486704270752,0.0
2022-05-31,103.1,0.656485806683435,0.29392570281124475,0.0
2022-06-30,103.81,0.5161290322580646,0.2237416008487565,0.0
2022-07-31,100.34,0.2951945080091533,0.06326162975521887,1.0
2022-08-31,109.65,0.7556818181818188,0.15202773691952087,0.0
