date,price_pos_52w,price_pos_78w,price_pos_104w,stu_wmt,oni_lag0,oni_lag6,oni_lag12,oni_lag15,oni_lag18,oni_lag24,spi3_nolook,flowering_drought_nolook,cot_index,rv_daily,rv_monthly
2016-11-30,0.6766990997461263,0.6766990997461263,0.645968406248608,20.88709998275931,-0.64,1.05,2.47,1.57,0.81,0.54,-1.2909020116664998,1.2909020116664998,81.69573019232539,2.022066415862512,0.08132154338882512
2016-12-31,0.4737865075841378,0.4737865075841378,0.4737865075841378,21.733059280284493,-0.6,0.49,2.64,1.91,1.02,0.71,-0.41427386163204094,0.41427386163204094,46.12128462317107,1.5437721842140877,0.08024043405788707
2017-01-31,0.7165049901432652,0.7165049901432652,0.7165049901432652,21.733059280284493,-0.45,0.0,2.75,2.21,1.25,0.77,-0.41427386163204094,0.41427386163204094,64.39104628692371,0.8692590496545137,0.08059678861549466
2017-02-28,0.4584295744259849,0.544660185976519,0.544660185976519,21.733059280284493,-0.19,-0.31,2.63,2.47,1.57,0.69,-0.41427386163204094,0.41427386163204094,49.507683813379955,1.1443167193177206,0.0832734927376603
2017-03-31,0.426097148456228,0.5174758344447807,0.5174758344447807,21.733059280284493,-0.02,-0.5,2.28,2.64,1.91,0.61,-0.41427386163204094,0.41427386163204094,32.21565289408301,0.47226453736905843,0.06813644840700647
2017-04-30,0.2230047427621927,0.3572816359557566,0.3572816359557566,21.733059280284493,0.18,-0.58,1.71,2.75,2.21,0.65,-0.41427386163204094,0.41427386163204094,25.332428453114936,1.4761071865538489,0.06903619126877314
2017-05-31,0.0,0.3242719815851573,0.3242719815851573,21.733059280284493,0.31,-0.64,1.05,2.63,2.47,0.81,-0.41427386163204094,0.41427386163204094,12.969310757338732,1.4396491714634634,0.06917331852821065
2017-06-30,0.0,0.22135928572264496,0.22135928572264496,21.5678065551517,0.4,-0.6,0.49,2.28,2.64,1.02,-0.41427386163204094,0.41427386163204094,0.0,2.2682940067550255,0.04196181991008756
2017-07-31,0.37905237951547077,0.5165049012571022,0.5165049012571022,21.5678065551517,0.39,-0.45,0.0,1.71,2.75,1.25,-0.41427386163204094,0.41427386163204094,21.00051123776343,1.342100464447209,0.055112654134186034
2017-08-31,0.10224418405985132,0.1685911361226849,0.30097077022971297,21.5678065551517,0.19,-0.19,-0.31,1.05,2.63,1.57,-0.41427386163204094,0.41427386163204094,19.241474636926515,1.2833648452648918,0.06200897220338067
2017-09-30,0.09975064621557243,0.16628187849456702,0.29902920014156603,21.5678065551517,-0.07,-0.02,-0.5,0.49,2.28,1.91,-0.41427386163204094,0.41427386163204094,29.93675799519058,1.370658159391309,0.0605660215014923
2017-10-31,0.04117629107307039,0.08333324378643023,0.2417475493714489,21.5678065551517,-0.34,0.18,-0.58,0.0,1.71,2.21,-0.41427386163204094,0.41427386163204094,0.4430727283055308,0.9217042394472019,0.05473084232131134
2017-11-30,0.08823529411764701,0.05610973849625929,0.26504861258328793,21.5678065551517,-0.6,0.31,-0.64,-0.31,1.05,2.47,-0.41427386163204094,0.41427386163204094,6.8342115184786705,0.9461775936688182,0.04338315832035994
2017-12-31,0.08431348613664322,0.053615820133463755,0.2631067462079314,18.46852815901562,-0.77,0.4,-0.6,-0.5,0.49,2.64,-1.3488249203954021,1.3488249203954021,0.0,1.273495696697317,0.03798413285203365
2018-01-31,0.0,0.0,0.17864074390607576,18.46852815901562,-0.86,0.39,-0.45,-0.58,0.0,2.75,-1.3488249203954021,1.3488249203954021,8.442115610499746,1.0712905146922789,0.031595875568266076
2018-02-28,0.0,0.0,0.004619043851755411,18.46852815901562,-0.77,0.19,-0.19,-0.64,-0.31,2.63,-1.3488249203954021,1.3488249203954021,3.2980398363892336,0.8374223025314196,0.027918159620874326
2018-03-31,0.0,0.0,0.0,18.46852815901562,-0.71,-0.07,-0.02,-0.6,-0.5,2.28,-1.3488249203954021,1.3488249203954021,0.5398155630159696,0.5195284108815591,0.02840615789212932
2018-04-30,0.11848342089058543,0.07961783052588636,0.05434783510089296,18.46852815901562,-0.57,-0.34,0.18,-0.45,-0.58,1.71,-1.3488249203954021,1.3488249203954021,7.183654197636164,0.6622375920466459,0.02511737229057752
2018-05-31,0.2630329774274771,0.17675143798286638,0.12065209441012445,18.46852815901562,-0.39,-0.6,0.31,-0.19,-0.64,1.05,-1.3488249203954021,1.3488249203954021,20.436060679907396,1.3251145362534618,0.025570160807878953
2018-06-30,0.0,0.0,0.0,20.103174894925804,-0.13,-0.77,0.4,-0.02,-0.6,0.49,-1.3488249203954021,1.3488249203954021,3.096442061654685,0.5206135963765258,0.034601445152442206
2018-07-31,0.0,0.0,0.0,20.103174894925804,0.06,-0.86,0.39,0.18,-0.45,0.0,-1.3488249203954021,1.3488249203954021,0.0,2.0423273954797114,0.02145019834663494
2018-08-31,0.0,0.0,0.0,20.103174894925804,0.14,-0.77,0.19,0.31,-0.19,-0.31,-1.3488249203954021,1.3488249203954021,3.025182797767943,1.3395329047853097,0.02745087788540907
2018-09-30,0.15425523999988155,0.10571077309402842,0.06585917904012875,20.103174894925804,0.27,-0.71,-0.07,0.4,-0.02,-0.5,-1.3488249203954021,1.3488249203954021,2.2939503483557493,2.0125104078979263,0.029332743223106014
2018-10-31,0.5177303583028233,0.35479946373608967,0.28377059621229167,20.103174894925804,0.53,-0.57,-0.34,0.39,0.18,-0.58,-1.3488249203954021,1.3488249203954021,51.4281709717169,2.4747668329529025,0.037881996902190865
2018-11-30,0.18327408560615532,0.12515191579373602,0.10009720248144367,20.103174894925804,0.81,-0.39,-0.6,0.19,0.31,-0.64,-1.3488249203954021,1.3488249203954021,48.640156979086974,3.1947876478988344,0.04546044258222145
2018-12-31,0.14648438373114958,0.09113000877148583,0.07288629089121552,22.65188979699124,0.97,-0.13,-0.77,-0.07,0.4,-0.6,1.017169494769971,0.0,30.184018267506847,3.1407519399555994,0.04564619506381751
2019-01-31,0.30468763737008775,0.2595675287841485,0.18309866974516925,22.65188979699124,0.92,0.06,-0.86,-0.34,0.39,-0.45,1.017169494769971,0.0,29.503658757365695,1.6979030868130527,0.04593633092572769
